Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:1, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:0, dst_y:0, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:3, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:0, dst_y:1, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:0, dst_y:2, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:1, dst_y:0, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:1, dst_y:1, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:1, dst_y:2, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:1, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:2, dst_y:0, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:2, dst_y:1, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:2, dst_y:2, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:2, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:3, dst_y:0, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:3, dst_y:1, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:3, dst_y:2, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:4, dst_x:3, dst_y:3, local_time:6, prev_local_time:6, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:6, future_time:6
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:8, prev_local_time:7, flag:true, prev_lowest_idx:4, lowest_idx:1, prev_time:6, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:0, dst_y:0, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:1, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:0, dst_y:1, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:0, dst_y:2, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:1, dst_y:0, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:1, dst_y:1, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:1, dst_y:2, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:1, dst_y:3, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:2, dst_y:0, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:2, dst_y:1, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:2, dst_y:2, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:2, dst_y:3, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:3, dst_y:0, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:3, dst_y:1, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:3, dst_y:2, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:4, dst_x:3, dst_y:3, local_time:8, prev_local_time:8, flag:false, prev_lowest_idx:4, lowest_idx:4, prev_time:7, future_time:7
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:9, prev_local_time:8, flag:true, prev_lowest_idx:4, lowest_idx:1, prev_time:7, future_time:8
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:9, prev_local_time:9, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:8, future_time:8
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:9, prev_local_time:9, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:8, future_time:8
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:9, prev_local_time:9, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:8, future_time:8
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:9, prev_local_time:9, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:8, future_time:8
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:9, prev_local_time:9, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:8, future_time:8
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:9, prev_local_time:9, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:8, future_time:8
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:9, prev_local_time:9, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:8, future_time:8
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:9, prev_local_time:9, flag:false, prev_lowest_idx:1, lowest_idx:3, prev_time:8, future_time:8
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:10, prev_local_time:9, flag:true, prev_lowest_idx:3, lowest_idx:1, prev_time:8, future_time:9
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:9, future_time:9
